time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.752174	0.579625	7.78079	5.16168e-18	1.20133e-17	radar	8.44676	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.12056	0.524737	7.99928	-0.146821	-0.0053158	lidar	0.363242	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25125	0.529202	5.40823	-0.0937211	-0.0188042	radar	5.02751	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.55976	0.523717	5.50577	-0.0956326	-0.0175328	lidar	1.08465	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.80971	0.53552	5.4391	-0.0448326	0.0219135	radar	0.877393	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.10639	0.542289	5.47362	-0.0338117	0.0393665	lidar	0.991456	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.31702	0.59743	5.26691	0.0380676	0.123504	radar	3.2778	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.59489	0.617367	5.28786	0.049511	0.138136	lidar	0.328709	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.86	0.63194	5.28806	0.0564579	0.137904	radar	0.0453026	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.10212	0.646532	5.25775	0.0656525	0.138926	lidar	0.447513	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.38623	0.582536	5.29527	-0.00515069	-0.0373666	radar	2.62084	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.69574	0.514607	5.36242	-0.0706215	-0.173621	lidar	4.56758	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.97576	0.561081	5.38632	-0.0198321	-0.0384046	radar	2.07726	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.25485	0.561056	5.39901	-0.0177929	-0.0289394	lidar	0.175914	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.51435	0.591533	5.36989	0.00625186	0.0176597	radar	1.12099	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.71015	0.687325	5.27879	0.0805911	0.150684	lidar	9.74508	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.96445	0.687142	5.24527	0.0704357	0.117415	radar	2.68823	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.27132	0.685151	5.29674	0.0597896	0.0907898	lidar	3.32682	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.52949	0.69434	5.2987	0.060413	0.0845546	radar	1.31774	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.82748	0.707234	5.33514	0.0610396	0.0796129	lidar	1.97764	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.07483	0.642266	5.29381	0.0129704	-0.00422564	radar	4.97756	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33589	0.742982	5.29245	0.0719252	0.0865451	lidar	2.77486	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
