time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.748224	0.57525	7.98665	-0.0846803	1.72725e-18	radar	8.5443	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.12605	0.489697	8.20392	-0.0709374	-1.93638e-05	lidar	0.718225	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.24033	0.562693	7.32395	-0.0193582	-0.000228627	radar	2.7433	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61847	0.586464	7.39667	0.0266226	-0.000208206	lidar	0.190386	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.75166	0.505784	6.36333	-0.133766	-0.0146088	radar	13.0535	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.0952	0.505725	6.42799	-0.104647	-0.0146527	lidar	1.68949	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.28266	0.558944	6.02028	-0.0519106	-0.025247	radar	13.6924	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.59786	0.565817	6.04786	-0.0409228	-0.023384	lidar	0.731513	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.84391	0.578693	5.90418	-0.0324286	-0.0299518	radar	4.82839	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.11584	0.58015	5.86781	-0.0255717	-0.0249467	lidar	0.75467	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.38287	0.531152	5.79918	-0.0527485	-0.0505983	radar	4.32284	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.71018	0.480399	5.8514	-0.0756371	-0.069696	lidar	3.33267	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.98912	0.508795	5.82431	-0.0564443	-0.0488505	radar	3.73152	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.28451	0.508128	5.83072	-0.051139	-0.0393851	lidar	0.303772	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.54361	0.527868	5.77347	-0.0393772	-0.0252754	radar	5.62026	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75477	0.595331	5.68404	0.00248862	0.0353431	lidar	13.7804	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.00929	0.599183	5.62981	0.00255761	0.0314682	radar	7.40841	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.32528	0.610199	5.66683	0.00800987	0.0367223	lidar	2.04786	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.58432	0.622318	5.63709	0.0148042	0.0439019	radar	2.05014	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.88845	0.646052	5.65947	0.0260449	0.0564722	lidar	1.15481	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.13659	0.600423	5.60909	0.000962182	0.0176023	radar	8.37484	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.40406	0.692828	5.59627	0.0482851	0.081407	lidar	4.16295	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.66085	0.725472	5.56251	0.0614386	0.0940762	radar	3.89309	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.91681	0.736461	5.54341	0.0636484	0.0911759	lidar	0.962248	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.17071	0.732782	5.50357	0.0578599	0.0786658	radar	8.73795	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.40163	0.811859	5.46681	0.0926722	0.117816	lidar	4.95818	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.68791	0.832064	5.4789	0.0953066	0.113598	radar	1.8215	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.94191	0.82047	5.46251	0.0844412	0.094257	lidar	1.56956	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.2007	0.846559	5.43589	0.0906552	0.0964168	radar	5.80156	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.44311	0.865976	5.4129	0.0941189	0.0953235	lidar	1.97058	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.70502	0.950922	5.41354	0.124435	0.124182	radar	4.66671	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.94383	1.00774	5.39115	0.141391	0.136553	lidar	2.10993	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.22769	1.05155	5.40179	0.149638	0.138022	radar	5.2014	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.46599	1.08471	5.3789	0.15466	0.136458	lidar	2.29763	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.73932	1.15795	5.3861	0.173696	0.149514	radar	3.14613	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	10.0041	1.27444	5.39191	0.208735	0.178738	lidar	1.92096	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.2596	1.36466	5.37633	0.232652	0.196202	radar	5.65639	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4872	1.44402	5.35238	0.250858	0.20563	lidar	2.89178	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.731	1.53305	5.32667	0.272843	0.220831	radar	6.55189	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.961	1.56991	5.30189	0.271832	0.208959	lidar	3.40951	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.2225	1.62861	5.30246	0.276895	0.203678	radar	1.19841	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.493	1.67369	5.31003	0.274922	0.190814	lidar	0.689795	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.7313	1.74107	5.28767	0.284991	0.193263	radar	2.72469	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.9625	1.80397	5.26878	0.291832	0.190868	lidar	1.86133	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.2121	1.89499	5.27155	0.306582	0.19595	radar	0.601239	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.4535	1.9268	5.25467	0.298984	0.178363	lidar	2.03915	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.7037	1.99346	5.25483	0.303018	0.172783	radar	0.832682	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.9066	2.11647	5.22877	0.332552	0.195114	lidar	5.31427	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.1609	2.21919	5.24509	0.346122	0.197226	radar	2.36413	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.3643	2.35073	5.22303	0.375858	0.218399	lidar	4.17576	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.5605	2.49517	5.18779	0.412807	0.249783	radar	13.4173	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.8008	2.60557	5.19175	0.42669	0.251102	lidar	0.0813186	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	14.0234	2.72155	5.17959	0.444996	0.258984	radar	0.935411	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.2451	2.86659	5.18074	0.47108	0.272482	lidar	0.431039	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4858	2.97461	5.1907	0.477156	0.262294	radar	0.802395	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6936	3.05753	5.16291	0.479888	0.252725	lidar	3.87076	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.918	3.2019	5.17251	0.499943	0.258361	radar	3.60503	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.1185	3.38279	5.17333	0.536459	0.282489	lidar	1.47234	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.3311	3.54212	5.1719	0.563108	0.297484	radar	2.47132	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
